Polygon,x_coord,y_coord,area
"POLYGON ((6254544.320728642 1898737.255593571, 6254572.335728983 1898738.626206857, 6254569.765058598 1898814.06198596, 6254586.250905354 1898815.543209573, 6254583.548530827 1898894.422740004, 6254519.117486419 1898891.598204684, 6254524.258586421 1898740.726822159, 6254544.320728642 1898737.255593571))",6254550.444590929,1898821.3607122016,8715.96124375013
"POLYGON ((6254905.645614452 1898799.366010986, 6254900.735992072 1898802.69179959, 6254938.632993414 1898803.968033653, 6254930.847362929 1898868.141951873, 6254892.768456611 1898865.064170185, 6254905.645614452 1898799.366010986))",6254916.816157953,1898835.803473442,2280.9014476399416
"POLYGON ((6254783.593798464 1898782.502738286, 6254801.789517715 1898790.525168353, 6254797.037040669 1898810.243173729, 6254811.923003914 1898816.657960059, 6254793.774443355 1898813.553189478, 6254816.776330713 1898824.644349858, 6254822.97157088 1898783.600704346, 6254859.513540717 1898798.168740124, 6254836.857844735 1898857.567112287, 6254765.602984806 1898830.216953432, 6254783.593798464 1898782.502738286))",6254814.144309461,1898819.132987549,3833.8454037876486
"POLYGON ((6254702.08847997 1898699.676124886, 6254680.740122761 1898706.438343508, 6254708.723706819 1898704.530627973, 6254710.527905033 1898720.907080333, 6254692.473593639 1898727.637701462, 6254700.856774205 1898760.180849846, 6254723.720419862 1898756.846809642, 6254726.784650301 1898715.669141073, 6254758.30711466 1898722.088350147, 6254744.474090065 1898825.501415355, 6254681.677360496 1898821.34937952, 6254667.825297054 1898750.98924231, 6254648.41289541 1898770.683950864, 6254669.896755835 1898795.232426624, 6254643.487573485 1898772.370560639, 6254673.432511222 1898803.231436261, 6254624.267782832 1898846.490505085, 6254594.140839726 1898813.828155279, 6254628.397930225 1898779.072774565, 6254613.354681951 1898756.265846679, 6254646.175131863 1898726.278391261, 6254666.190857813 1898752.316415336, 6254663.971982396 1898709.877899131, 6254702.08847997 1898699.676124886))",6254682.935524109,1898775.6793624489,12382.409947386457
"POLYGON ((6254991.728126672 1898672.309446897, 6255028.841854612 1898763.758903445, 6254999.487850979 1898811.745792254, 6254955.254100402 1898836.760108845, 6254944.765993616 1898790.794304601, 6254971.265634767 1898788.737103585, 6254993.846623021 1898755.897271105, 6254966.803364374 1898684.023870497, 6254991.728126672 1898672.309446897))",6254989.57907564,1898761.1440281156,5668.2860006120445
"POLYGON ((6254584.440764436 1898815.724510617, 6254568.180947656 1898820.634662824, 6254584.500517483 1898821.953543306, 6254584.440764436 1898815.724510617))",6254579.040743192,1898819.4375722487,50.788163399640325
"POLYGON ((6255106.627051928 1898630.22448284, 6255125.356465933 1898693.980848314, 6255064.865949688 1898758.659677107, 6255039.75893444 1898734.145617766, 6255087.145639067 1898694.34676788, 6255071.820089023 1898642.033474995, 6255106.627051928 1898630.22448284))",6255088.535054279,1898694.014137578,4527.525366306309
"POLYGON ((6254544.157599689 1898737.421096034, 6254524.603717166 1898742.362884755, 6254572.053501137 1898743.547036059, 6254544.157599689 1898737.421096034))",6254546.938272663,1898741.1103389494,128.82078137650916
"POLYGON ((6254577.870232071 1898628.734866757, 6254650.267243001 1898637.712795381, 6254646.026979157 1898693.656241024, 6254622.789869159 1898692.403671124, 6254621.001347168 1898677.666435163, 6254564.939791238 1898671.646688686, 6254569.305718909 1898628.817025721, 6254577.870232071 1898628.734866757))",6254610.055101358,1898657.2017502428,3906.6504077814197
"POLYGON ((6255302.481449315 1898613.595107571, 6255335.578760657 1898629.672170008, 6255325.784481367 1898656.15988294, 6255297.691007675 1898646.59246815, 6255283.134528251 1898674.601196186, 6255233.369380331 1898655.241063872, 6255247.963434465 1898613.952963134, 6255289.327258654 1898633.229610611, 6255302.481449315 1898613.595107571))",6255281.395976652,1898641.9093778038,3471.830520735929
