APN,Parcel,House,Address,SqFtDelta,Bed/Bath,Type,Value,ParcelSqFt,Chosen,Floors,Ratios
3440301400,"POLYGON ((6254457.659365132 1898683.153057044, 6254449.618861852 1898686.345035587, 6254466.403660702 1898718.971478612, 6254491.380875358 1898918.734947191, 6254604.858076635 1898917.482329261, 6254577.179200549 1898796.598540933, 6254482.411838861 1898687.833657824, 6254457.659365132 1898683.153057044))",[<shapely.geometry.polygon.Polygon object at 0x11e2f85f8>],9050 LA JOLLA SHORES LN,"[8485.240044849646, 7146]","(5, 8.5)","('SingleFamily', 10)","(3910112.5, 2390113.0)",20592.7679695,False,2,"(0.8421682783550083, 212.70633921074727, 13.5)"
3440301000,"POLYGON ((6254943.639938311 1898689.968625359, 6254912.582200115 1898714.856850602, 6254871.726995539 1898731.478174977, 6254853.524707957 1898911.819339735, 6254945.546864416 1898906.183346113, 6254943.639938311 1898689.968625359))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8be0>],2444 ELLENTOWN RD,"[2260.78598309743, 3651]","(3, 2.0)",10,"(337204.0, 136599.0)",16532.663774,False,1,"(1.614925086804494, 54.945220487537661, 5.0)"
3440300900,"POLYGON ((6254815.298190095 1898704.313584715, 6254760.075617816 1898768.614611347, 6254764.586320238 1898912.671874752, 6254850.051853034 1898910.377196254, 6254868.072139359 1898728.2344537, 6254815.298190095 1898704.313584715))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8780>],2434 ELLENTOWN RD,"[3748.2533189871324, 2896]","(3, 2.0)",10,"(823617.0, 428970.0)",18723.8654175,False,1,"(0.7726265418962047, 136.27313535911603, 5.0)"
3440300800,"POLYGON ((6254785.133299918 1898650.503303091, 6254660.610201715 1898702.354019406, 6254662.487598502 1898915.290230258, 6254761.113461317 1898911.229740922, 6254758.114915928 1898770.272781292, 6254811.837881266 1898704.182815869, 6254785.133299918 1898650.503303091))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8a58>],2424 ELLENTOWN RD,"[12239.278606863558, 2152]","(3, 3.0)","('SingleFamily', 10)","(1149057.5, 982342.0)",27255.040566,False,1,"(0.175827356262092, 77.470027881040892, 6.0)"
3440301100,"POLYGON ((6255012.312238837 1898636.850642995, 6254947.0814009 1898688.132337658, 6254947.372707968 1898907.641280635, 6255083.126248898 1898824.536445754, 6255012.312238837 1898636.850642995))","[<shapely.geometry.polygon.Polygon object at 0x11e2f8a90>, <shapely.geometry.polygon.Polygon object at 0x11e2f84a8>, <shapely.geometry.polygon.Polygon object at 0x11e2f8940>]",2484 ELLENTOWN RD,"[11108.469592753854, 0.0]","(2, 2.5)","('SingleFamily', 10)","(3053777.5, 1095160.0)",23621.8907315,False,1,"(0.0, 176.31749213029508, 4.5)"
3440301300,"POLYGON ((6254457.659365132 1898683.153057044, 6254449.618861852 1898686.345035587, 6254466.403660702 1898718.971478612, 6254491.380875358 1898918.734947191, 6254604.858076635 1898917.482329261, 6254577.179200549 1898796.598540933, 6254482.411838861 1898687.833657824, 6254457.659365132 1898683.153057044))","[<shapely.geometry.polygon.Polygon object at 0x11e2f8710>, <shapely.geometry.polygon.Polygon object at 0x11e2f82e8>]",9046 LA JOLLA SHORES LN,"[24779.755468583244, 9083]","(5, 6.0)","('SingleFamily', 10)","(10848210.5, 6000000.0)",108663.839251,False,2,"(0.36654921843420885, 195.65207195634974, 11.0)"
3440301600,"POLYGON ((6254657.935415426 1898612.377814272, 6254532.777426705 1898615.217743522, 6254516.674795089 1898636.520239498, 6254508.769984041 1898671.023031762, 6254558.454620788 1898716.284947187, 6254657.291378726 1898716.976289322, 6254657.935415426 1898612.377814272))",[<shapely.geometry.polygon.Polygon object at 0x11e2f87b8>],9066 LA JOLLA SHORES LN,"[3889.099587029851, 3910]","(4, 3.5)","('SingleFamily', 10)","(1857935.0, 1213970.0)",14100.4978085,False,2,"(1.0053741007404007, 164.69693094629156, 7.5)"
3440300600,"POLYGON ((6254913.661467156 1898483.693817683, 6254791.975865713 1898487.974909709, 6254794.078593853 1898535.496927817, 6254843.004998983 1898656.342151726, 6254862.791492993 1898675.661105053, 6254885.802636832 1898670.522444872, 6254921.591207472 1898640.834630549, 6254913.661467156 1898483.693817683))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8630>],2425 ELLENTOWN RD,"[2936.2466086943346, 1942]","(3, 2.0)","('SingleFamily', 10)","(1241521.5, 2132025.0)",19670.89996,False,1,"(0.6613885884958254, -458.54969104016476, 5.0)"
3440302200,"POLYGON ((6254656.960729048 1898510.745418928, 6254393.483488353 1898518.191488833, 6254389.319180538 1898582.003489931, 6254399.192389523 1898598.13860096, 6254423.976403249 1898606.097629548, 6254486.516086715 1898600.579315572, 6254516.47706422 1898633.079439998, 6254531.111531584 1898613.266470042, 6254657.900829833 1898608.771508936, 6254656.960729048 1898510.745418928))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8a20>],9075 LA JOLLA SHORES LN,"[21037.774587871892, 13043]","(5, 6.0)","('SingleFamily', 10)","(16870527.0, 4299680.0)",25747.2290445,False,2,"(0.619980024290173, 963.80027601012034, 11.0)"
3440300500,"POLYGON ((6255027.290784055 1898480.965804227, 6254917.134365246 1898485.135987524, 6254925.016967081 1898637.359109424, 6255026.184066355 1898554.584783184, 6255027.290784055 1898480.965804227))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8908>],2451 ELLENTOWN RD,"[1735.9228874023029, 2000]","(4, 2.0)","('SingleFamily', 10)","(451937.5, 321437.0)",12891.935479,False,1,"(1.1521249097607507, 65.250249999999994, 6.0)"
3440300100,"POLYGON ((6254574.919746188 1898372.18424901, 6254425.039567661 1898373.622375464, 6254399.542434333 1898445.836355126, 6254393.630883422 1898516.386750052, 6254577.900248853 1898511.175854117, 6254574.919746188 1898372.18424901))",[<shapely.geometry.polygon.Polygon object at 0x11e2f8ba8>],9090 LA JOLLA SHORES LN,"[5624.790692356979, 6130]","(6, 6.5)","('SingleFamily', 10)","(5108320.0, 3245891.0)",25359.136967,False,2,"(1.0898183301877356, 303.82202283849921, 12.5)"
3440300300,"POLYGON ((6254887.82498645 1898365.905345466, 6254744.548635681 1898368.918084227, 6254742.297817094 1898460.581582586, 6254770.16248972 1898463.429275511, 6254788.468391279 1898482.926434146, 6254887.290148829 1898481.979261984, 6254887.82498645 1898365.905345466))",[<shapely.geometry.polygon.Polygon object at 0x11e2f81d0>],2405 ELLENTOWN RD,"[4696.057511974252, 2934]","(4, 3.0)","('SingleFamily', 10)","(910747.5, 651253.0)",16391.270868,False,1,"(0.624779401129295, 88.443933197000675, 7.0)"
