APN,Parcel,House,Address,SqFtDelta,Bed/Bath,Type,Value,ParcelSqFt,Chosen,Ratios,Floors
4245531500,"POLYGON ((6259030.632401923 1867787.572117426, 6258997.461301703 1867923.919029501, 6259038.618403939 1867934.852731785, 6259030.632401923 1867787.572117426))",[<shapely.geometry.polygon.Polygon object at 0x10b349b70>],3716 CROWN POINT DR,"[1039.7883621720105, 1408]","(3, 2.0)","('SingleFamily', 30)","(1007820.0, 724972.0)",3619.2870745,False,"(1.3541217147870683, 200.88636363636363, 5.0)",2
4245521300,"POLYGON ((6258718.06384161 1867861.086065921, 6258708.603479424 1867906.793502297, 6258805.909319222 1867927.369877233, 6258813.931042789 1867886.434809468, 6258718.06384161 1867861.086065921))",[<shapely.geometry.polygon.Polygon object at 0x10b349be0>],3722 JEWELL ST,"[2064.69966843601, 1162]","(2, 2.0)","('SingleFamily', 30)","(381116.5, 304727.0)",4742.9225,False,"(0.5627937165700247, 65.739672977624778, 4.0)",1
4245520700,"POLYGON ((6258607.57628862 1867858.848977371, 6258593.18579457 1867906.244016856, 6258683.881793572 1867925.241608824, 6258693.505423845 1867879.368553194, 6258607.57628862 1867858.848977371))",[<shapely.geometry.polygon.Polygon object at 0x10b3493c8>],3729 YOSEMITE ST,"[2587.0305508661154, 2196]","(0, 0.0)","('Duplex', 30)","(120015.0, 41349.0)",4737.758835,False,"(0.8488496586423373, 35.822404371584696, 0.0)",1
4245531000,"POLYGON ((6258915.617371114 1867829.68206238, 6258907.553152623 1867831.235099721, 6258891.702745844 1867898.663232957, 6258980.762378831 1867918.989875072, 6258996.449651453 1867851.727466118, 6258915.617371114 1867829.68206238))","[<shapely.geometry.polygon.Polygon object at 0x10b349160>, <shapely.geometry.polygon.Polygon object at 0x10b349780>, <shapely.geometry.polygon.Polygon object at 0x10b349668>, <shapely.geometry.polygon.Polygon object at 0x10b3494e0>]",3717 JEWELL ST,"[3570.364125219036, 0]","(0, 0.0)",30,"(136766.0, 66334.0)",6874.777515,False,"(0.0, 19.72683948466436, 0.0)",1
4245521200,"POLYGON ((6258740.446289936 1867787.032250572, 6258718.21163815 1867859.279638776, 6258815.576544695 1867886.091070227, 6258834.48316839 1867810.593388394, 6258740.446289936 1867787.032250572))",[<shapely.geometry.polygon.Polygon object at 0x10b3495f8>],3716 JEWELL ST,"[5247.282664318079, 0]","(0, 0.0)",30,"(563534.0, 319619.0)",8090.304507,False,"(0.0, 46.484059579759361, 0.0)",1
4245520800,"POLYGON ((6258618.635472149 1867807.87531592, 6258607.573184951 1867858.520819451, 6258694.972102033 1867877.549656695, 6258704.580249754 1867830.035746032, 6258618.635472149 1867807.87531592))",[<shapely.geometry.polygon.Polygon object at 0x10b349630>],3721 YOSEMITE ST,"[1078.072358901237, 1186]","(2, 1.0)","('SingleFamily', 30)","(290279.5, 381425.0)",4935.729264,False,"(1.1001116856467426, -76.851180438448566, 3.0)",1
4245532400,"POLYGON ((6259001.567681897 1867677.903496495, 6258993.549916904 1867684.378914816, 6258971.399307107 1867783.044693292, 6259010.907990821 1867793.993982964, 6259031.339769021 1867705.354259323, 6259001.567681897 1867677.903496495))",[<shapely.geometry.polygon.Polygon object at 0x10b349048>],3702 CROWN POINT DR,"[5799.8523849294015, 4306]","(9, 5.0)",30,"(969155.0, 717899.0)",4774.2514285,False,"(0.74243268866444, 58.350209010682768, 14.0)",2
4245531100,"POLYGON ((6258926.615046131 1867772.145290616, 6258909.155250224 1867826.297149558, 6258953.625221289 1867838.84041447, 6258967.787867731 1867784.719748681, 6258926.615046131 1867772.145290616))",[<shapely.geometry.polygon.Polygon object at 0x10b3490b8>],3711 JEWELL ST,"[1123.2520837836387, 1044]","(2, 1.0)","('SingleFamily', 30)","(158335.5, 116695.0)",2872.037921,False,"(0.9294440803379767, 39.88553639846743, 3.0)",1
4245520900,"POLYGON ((6258631.374335945 1867760.167576575, 6258616.968243237 1867805.921956952, 6258707.695537289 1867828.201260157, 6258717.31923205 1867782.328074659, 6258631.374335945 1867760.167576575))",[<shapely.geometry.polygon.Polygon object at 0x10b349518>],3715 YOSEMITE ST,"[1676.7780576678415, 1496]","(4, 2.0)","('Duplex', 30)","(82076.5, 45447.0)",4726.998065,False,"(0.8921872475363388, 24.484959893048128, 6.0)",1
4245521100,"POLYGON ((6258754.756400216 1867731.104966624, 6258740.44318763 1867786.704091913, 6258836.100762465 1867807.2962236, 6258845.662622664 1867754.85986996, 6258754.756400216 1867731.104966624))",[<shapely.geometry.polygon.Polygon object at 0x10b3495c0>],3704 JEWELL ST,"[3309.7894391423865, 0.0]","(0, 0.0)","('MultiFamily2To4', 30)","(240189.0, 143486.0)",5859.2982105,False,"(0.0, 29.217266469089079, 0.0)",1
4245521000,"POLYGON ((6258642.356010033 1867700.989781512, 6258628.209390771 1867756.751530831, 6258717.316129507 1867781.999915954, 6258733.111503576 1867726.222665006, 6258642.356010033 1867700.989781512))","[<shapely.geometry.polygon.Polygon object at 0x10b3494a8>, <shapely.geometry.polygon.Polygon object at 0x10b349128>]",3705 YOSEMITE ST,"[3361.6551075380494, 3914]","(8, 7.0)","('MultiFamily2To4', 30)","(535017.0, 172191.0)",5724.563167,False,"(1.164307424406327, 107.93076279193917, 15.0)",2
4245531200,"POLYGON ((6258975.127857179 1867671.589463325, 6258944.107003184 1867686.486923232, 6258923.419129548 1867765.447628767, 6258966.287069947 1867782.928892309, 6258994.806813953 1867677.80326246, 6258975.127857179 1867671.589463325))",[<shapely.geometry.polygon.Polygon object at 0x10b349588>],1720 MOORLAND DR,"[2589.6529427557743, 4300]","(4, 3.0)","('SingleFamily', 30)","(1906584.0, 1082260.0)",5237.49061,False,"(1.660454159322277, 191.70325581395349, 7.0)",2
4245522800,"POLYGON ((6258828.029001138 1867633.596626118, 6258799.525270626 1867740.363348464, 6258847.308131665 1867754.516131008, 6258869.326079604 1867659.297413856, 6258857.797130572 1867643.160988207, 6258828.029001138 1867633.596626118))",[<shapely.geometry.polygon.Polygon object at 0x10b349240>],1676 MOORLAND DR,"[2713.560414591468, 3880]","(6, 5.0)","('Duplex', 30)","(821355.5, 275856.0)",5765.012654,False,"(1.4298557640862923, 140.59265463917527, 11.0)",2
