APN,Parcel,House,Address,SqFtDelta,Bed/Bath,Type,Value,ParcelSqFt,Chosen,Ratios
3440301400,"POLYGON ((6254457.977907444 1898682.50924141, 6254449.937403962 1898685.701219929, 6254466.722202816 1898718.327663781, 6254491.699415947 1898918.091136565, 6254605.176619507 1898916.83851976, 6254577.497744101 1898795.954728755, 6254482.73038162 1898687.189842524, 6254457.977907444 1898682.50924141))",[<shapely.geometry.polygon.Polygon object at 0x11ba6ccc0>],9050 LA JOLLA SHORES LN,"[8715.96124375013, 7146]","(5, 8.5)","('SingleFamily', 10)","(3910112.5, 2390113.0)",20592.7679695,False,"(0.8198751463155155, 1.6359529863232407, 13.5)"
3440301000,"POLYGON ((6254943.95849028 1898689.324814784, 6254912.900751201 1898714.213040204, 6254872.045545639 1898730.834364495, 6254853.843255864 1898911.17553265, 6254945.865414231 1898905.539539841, 6254943.95849028 1898689.324814784))",[<shapely.geometry.polygon.Polygon object at 0x11ba6ca20>],2444 ELLENTOWN RD,"[2280.9014476399416, 3651]","(3, 2.0)",10,"(337204.0, 136599.0)",16532.663774,False,"(1.6006829246295167, 2.4685685839574227, 5.0)"
3440300900,"POLYGON ((6254815.616739349 1898703.669773122, 6254760.394165306 1898767.970800471, 6254764.904866364 1898912.028066789, 6254850.370400894 1898909.733389099, 6254868.390689428 1898727.590643117, 6254815.616739349 1898703.669773122))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c780>],2434 ELLENTOWN RD,"[3833.8454037876486, 2896]","(3, 2.0)",10,"(823617.0, 428970.0)",18723.8654175,False,"(0.7553773548455803, 1.9199874117071123, 5.0)"
3440300800,"POLYGON ((6254785.451849115 1898649.859490137, 6254660.928747885 1898701.710206206, 6254662.806142557 1898914.646421301, 6254761.432007388 1898910.585932888, 6254758.433463369 1898769.62897043, 6254812.156430453 1898703.539004239, 6254785.451849115 1898649.859490137))",[<shapely.geometry.polygon.Polygon object at 0x11ba6ce10>],2424 ELLENTOWN RD,"[12382.409947386457, 2152]","(3, 3.0)","('SingleFamily', 10)","(1149057.5, 982342.0)",27255.040566,False,"(0.17379492434380436, 1.1697122794301782, 6.0)"
3440301100,"POLYGON ((6255012.630792718 1898636.206832062, 6254947.399952948 1898687.48852708, 6254947.691257803 1898906.997474409, 6255083.444802294 1898823.892639264, 6255012.630792718 1898636.206832062))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c6d8>],2484 ELLENTOWN RD,"[5668.2860006120445, 0.0]","(2, 2.5)","('SingleFamily', 10)","(3053777.5, 1095160.0)",23621.8907315,False,"(0.0, 2.7884304576500236, 4.5)"
3440301200,"POLYGON ((6255099.483380241 1898589.472329912, 6255037.131996626 1898614.660207057, 6255014.425243519 1898634.386325887, 6255085.23924646 1898822.072147561, 6255166.955867304 1898772.272471014, 6255099.483380241 1898589.472329912))","[<shapely.geometry.polygon.Polygon object at 0x11ba6c6a0>, <shapely.geometry.polygon.Polygon object at 0x11ba6c9e8>]",2504 ELLENTOWN RD,"[5829.130515104033, 3564]","(5, 3.0)","('SingleFamily', 10)","(1366280.5, 993234.0)",20100.003358,False,"(0.6114119405570374, 1.3755877265578906, 8.0)"
3440301600,"POLYGON ((6254658.253962464 1898611.733999265, 6254533.095971209 1898614.573927301, 6254516.99333904 1898635.876423543, 6254509.088527491 1898670.379216406, 6254558.773164782 1898715.641133225, 6254657.60992469 1898716.332476382, 6254658.253962464 1898611.733999265))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c198>],9066 LA JOLLA SHORES LN,"[3906.6504077814197, 3910]","(4, 3.5)","('SingleFamily', 10)","(1857935.0, 1213970.0)",14100.4978085,False,"(1.0008574077198995, 1.5304620377768807, 7.5)"
3440410200,"POLYGON ((6255227.87278036 1898580.046158522, 6255104.587584191 1898589.259511739, 6255170.413028055 1898772.075433586, 6255229.385499801 1898755.281080439, 6255227.87278036 1898580.046158522))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c0f0>],2524 ELLENTOWN RD,"[3471.830520735929, 1348]","(2, 1.0)","('SingleFamily', 10)","(152009.0, 105953.0)",16355.3561235,False,"(0.3882678005014664, 1.4346833029739601, 3.0)"
3440300600,"POLYGON ((6254913.980020618 1898483.050002727, 6254792.294416687 1898487.331093595, 6254794.397144387 1898534.853112661, 6254843.323549271 1898655.698339469, 6254863.110043482 1898675.017293386, 6254886.121187841 1898669.878633326, 6254921.909759498 1898640.190818785, 6254913.980020618 1898483.050002727))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c128>],2425 ELLENTOWN RD,"[3083.1319139888687, 1942]","(3, 2.0)","('SingleFamily', 10)","(1241521.5, 2132025.0)",19670.89996,True,"(0.6298789848039604, 0.58232032926443167, 5.0)"
3440302200,"POLYGON ((6254657.279277097 1898510.10160189, 6254393.802031054 1898517.547669272, 6254389.6377225 1898581.359671592, 6254399.510931526 1898597.494783039, 6254424.294945668 1898605.453812046, 6254486.834630443 1898599.9354986, 6254516.795608209 1898632.435623949, 6254531.430076075 1898612.622653762, 6254658.219376907 1898608.127693855, 6254657.279277097 1898510.10160189))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c080>],9075 LA JOLLA SHORES LN,"[21273.6301609921, 13043]","(5, 6.0)","('SingleFamily', 10)","(16870527.0, 4299680.0)",25747.2290445,False,"(0.6131064562697905, 3.9236703661667844, 11.0)"
3440300500,"POLYGON ((6255027.609339819 1898480.321990358, 6254917.452918755 1898484.492172614, 6254925.335519202 1898636.715297627, 6255026.502621357 1898553.940970769, 6255027.609339819 1898480.321990358))",[<shapely.geometry.polygon.Polygon object at 0x11ba6c0b8>],2451 ELLENTOWN RD,"[1918.71991257759, 2000]","(4, 2.0)","('SingleFamily', 10)","(451937.5, 321437.0)",12891.935479,False,"(1.04236162187592, 1.4059909095717045, 6.0)"
